dish_id,dish_name,price,spice_level,is_vegetarian,cuisine_origin,description,dish_type
D001,Blueberry Pancakes with Berry Compote,340,mild,No,Continental,Fluffy pancakes served with mixed berry compote (3 pieces),Dessert
D002,Social Egg Bhurjee,275,medium,No,Indian,Highway bhurjee with egg cooked 3 ways and Akuri spices,Main Course
D003,Disco Fried Egg,285,medium,No,Fusion,"3 fried eggs with powdered spices, cheese sauce & green chillies",Main Course
D004,Irani Omelette,260,hot,Yes,Indian,"Wild west style omelette with heavy masala of onion, tomato, ginger, garlic and chilli powder",Main Course
D005,Don't be Salli Par Edu,315,medium,Yes,Indian,Favourite parsi meal of straw potatoes topped with 2 sunny side up eggs served with pao & lagan nu Achaar,Main Course
D006,Pancake Saddlebags,430,mild,No,Continental,"Pancake saddled with pork bacon, chicken sausages, fried eggs & maple syrup (2 pieces)",Dessert
D007,Andaas Apna Apna - Eggs & Toast,315,medium,No,Continental,"Scrambled/half fry/full fry/railway station omelette/mushroom omelette/cheese omelette served with grilled tomato, baked beans & choice of white slice bread toast or pav",Main Course
D008,Poori Aloo Nashta,315,medium,Yes,Indian,"Pooris served with spicy & tangy potato curry along with achaar, kachumber & moong dal halwa",Main Course
D009,Kiran's Big Apple Breakfast,470,mild,Yes,Continental,"2 eggs any style, blueberry pancake, pork bacon, home fries, toast with butter & preserves, oreo cookies & choice of tea or coffee",Beverage
D010,Sid's Very Posh Breakfast,470,medium,Yes,Continental,"2 eggs any style, baked beans, grilled tomato, hash browns, pork bacon & sausages served with toast butter & preserves & choice of English breakfast tea or Coffee",Beverage
D011,Hardy's Bhai Istyle Breakfast,470,medium,Yes,Fusion,"Keema ghotala or bun omelette, bun maska, masala chai with khari & biscuits",Main Course
D012,Riyaaz's Breakfast of Champions,550,hot,Yes,Fusion,"Haleem, poori, halwa & boiled eggs",Main Course
D013,Dhingra's Punjabi Breakfast,450,medium,Yes,Fusion,"Paratha (aloo/gobi/paneer) served with chole, punjabi samosa, aam ka achaar, pyaaz, dahi, karrare aloo, lassi & chai",Main Course
